data;cota;patrimonio_liquido
2024-05-02;1.33069065;217100302.0
2024-05-03;1.3295857;216538340.34
2024-05-06;1.33494938;216798827.55
2024-05-07;1.33856535;214916879.28
2024-05-08;1.33989024;214458270.34
2024-05-09;1.34285054;214343535.66
2024-05-10;1.34656138;214577884.42
2024-05-13;1.34765588;214019846.23
2024-05-14;1.34765263;214077029.58
2024-05-15;1.34647626;213665040.36
2024-05-16;1.34731134;211832476.02
2024-05-17;1.35243448;212529075.84
2024-05-20;1.35704489;213043181.99
2024-05-21;1.35658665;202074213.26
2024-05-22;1.35621736;200797444.61
2024-05-23;1.35364561;191350058.65
2024-05-24;1.35181612;192337633.92
2024-05-27;1.35433471;192453590.52
2024-05-28;1.35294809;190564458.99
2024-05-29;1.34949084;187112891.82
2024-05-31;1.34222907;185854414.49
2024-06-03;1.34039602;185121797.66
2024-06-04;1.33613414;184133250.02
2024-06-05;1.34261391;184142370.79
2024-06-06;1.34405217;183956421.06
2024-06-07;1.35496148;185483865.4
2024-06-10;1.35888254;185121008.54
2024-06-11;1.35352879;184151165.23
2024-06-12;1.35776859;184175421.15
2024-06-13;1.35372908;171710050.37
2024-06-14;1.34814968;170833955.99
2024-06-17;1.35270363;169469700.28
2024-06-18;1.35561471;168888777.24
2024-06-19;1.3592126;168635839.47
2024-06-20;1.36301766;168391858.64
2024-06-21;1.36043161;167708007.98
2024-06-24;1.36060505;167092949.41
2024-06-25;1.36205749;166949580.69
2024-06-26;1.36609665;167119616.47
2024-06-27;1.36569447;167113466.52
2024-06-28;1.36675197;166274988.26
2024-07-01;1.37278132;166813010.64
2024-07-02;1.37252316;166620260.48
2024-07-03;1.37101384;166206873.57
2024-07-04;1.37032377;165302607.05
2024-07-05;1.36723985;164582792.4
2024-07-08;1.3650727;162831880.02
2024-07-09;1.36341308;162314952.8
2024-07-10;1.36469476;161792028.04
2024-07-11;1.36211997;160816571.96
2024-07-12;1.36226388;160238302.91
2024-07-15;1.36249286;158941006.82
